song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
8 Letters,"Why Don't We,",86,0.478,0.0928,88.979,0.031,0.649,0,4,0.607,1,190027,-5.702,0.255,0
Taking Me Back,"LANY,",72,0.57,0.106,94.061,0.0419,0.04,0,4,0.689,5,194811,-6.728,0.524,0
Tagpuan,"Moira Dela Torre,",74,0.121,0.0788,135.268,0.0345,0.862,0,4,0.566,8,260240,-8.206,0.293,1
Let Me Know,"LANY,",72,0.391,0.127,94.971,0.0825,0.264,2.98e-06,4,0.696,11,276197,-8.306,0.65,0
Valentine's Day,"LANY,",72,0.498,0.104,148.055,0.0335,0.13,0,4,0.545,8,217949,-8.764,0.063,1
Run,"LANY,",72,0.382,0.102,109.977,0.0694,0.123,0,4,0.705,8,228192,-9.819,0.453,0
You Are The Reason,"Calum Scott,",84,0.235,0.137,171.232,0.0299,0.918,0,3,0.331,10,204326,-7.7,0.218,1
Midnight Sky,"UNIQUE,",67,0.149,0.109,120.322,0.0409,0.904,3.77e-05,5,0.495,5,244427,-8.379,0.179,1
Weak,"Khel Pangilinan,",69,0.373,0.156,127.064,0.0618,0.179,0,4,0.71,5,211200,-10.611,0.141,0
The Middle,"Zedd,Maren Morris,Grey,",90,0.657,0.112,107.01,0.0449,0.171,0,4,0.753,7,184732,-3.061,0.437,1
There's No Way (feat. Julia Michaels),"Lauv,Julia Michaels,",86,0.625,0.157,147.02,0.0896,0.49,0,4,0.755,2,174861,-7.114,0.374,1
Tadhana,"Up Dharma Down,",72,0.322,0.0809,155.982,0.0369,0.165,0.0296,4,0.686,6,222447,-13.2,0.511,1
Bulong,"December Avenue,",71,0.728,0.0782,134.877,0.0313,0.0319,0,4,0.5,9,270233,-5.472,0.351,0
Bakit Ba Ikaw,"Michael Pangilinan,",71,0.48,0.112,119.903,0.0284,0.549,0,4,0.668,10,245587,-5.469,0.277,1
Say You Won't Let Go,"James Arthur,",85,0.557,0.0902,85.043,0.059,0.695,0,4,0.358,10,211467,-7.398,0.494,1
BAAM,"MOMOLAND,",79,0.94,0.0864,127.051,0.0435,0.115,0.00431,4,0.725,5,208475,-2.32,0.905,0
Oks Lang,"John Roa,",71,0.237,0.0961,80.13,0.0451,0.855,0.000386,4,0.313,9,336369,-14.538,0.165,1
Leaves,"Ben&Ben,",70,0.16,0.0891,118.313,0.0372,0.913,0,3,0.447,6,310709,-10.896,0.205,1
Torna a casa,"Måneskin,",78,0.642,0.131,155.984,0.0651,0.443,0,4,0.568,1,230540,-3.189,0.46,0
Fumo Da Solo,"Izi,",76,0.605,0.108,140.091,0.0544,0.0626,0,4,0.724,7,221571,-8.14,0.52,0
Cambiare Adesso,"Dark Polo Gang,",79,0.777,0.197,79.999,0.0587,0.279,1.47e-06,4,0.666,5,228975,-3.143,0.588,0
90MIN,"Salmo,",80,0.675,0.842,122.224,0.301,0.035,0,4,0.715,1,231907,-7.657,0.535,1
Fuoco e benzina,"Emis Killa,",73,0.711,0.0986,79.92,0.112,0.0497,0,4,0.682,5,209180,-5.781,0.515,1
Trap Phone (feat. Capo Plaza),"Gue Pequeno,Capo Plaza,",73,0.664,0.296,118.032,0.0591,0.11,0,4,0.749,1,200533,-5.414,0.248,0
Borsello (feat. Sfera Ebbasta & DrefGold),"Gue Pequeno,Sfera Ebbasta,DrefGold,",78,0.584,0.208,154.028,0.226,0.36,0,4,0.77,2,202827,-7.453,0.625,0
D'estate non vale (feat. Ana Mena),"Fred De Palma,Ana Mena,",80,0.748,0.0789,179.919,0.142,0.0852,0,4,0.658,11,157176,-5.802,0.69,0
Pablo,"Rvssian,Sfera Ebbasta,",79,0.663,0.115,140.016,0.0433,0.071,0,4,0.813,6,165942,-7.84,0.343,0
Rollercoaster,"Emis Killa,",78,0.862,0.06,104.056,0.162,0.0659,0.000235,4,0.766,11,207692,-4.191,0.779,1
2% (feat. Frah Quintale),"Gue Pequeno,Frah Quintale,",76,0.602,0.151,82.043,0.428,0.237,0,4,0.754,10,211840,-6.785,0.587,0
Davide (feat. Coez),"Gemitaiz,Coez,",77,0.63,0.207,126.006,0.0763,0.136,4.86e-06,4,0.797,5,206212,-7.601,0.761,1
Cascare nei tuoi occhi,"Ultimo,",73,0.46,0.0896,67.983,0.104,0.541,0,4,0.732,0,226160,-8.629,0.405,1
Balla,"Zoda,",76,0.844,0.104,79.934,0.106,0.436,0,4,0.451,3,200777,-4.95,0.481,0
Nera,"Irama,",79,0.819,0.165,133.997,0.105,0.136,0,4,0.767,0,174147,-5.114,0.799,1
Tesla (feat. Sfera Ebbasta & DrefGold),"Capo Plaza,Sfera Ebbasta,DrefGold,",78,0.626,0.0961,140.05,0.0618,0.316,0,4,0.854,11,185147,-5.14,0.377,1
Guarda Come Flexo 2,"MamboLosco,",75,0.528,0.0617,140.05,0.0657,0.061,4.52e-05,4,0.843,1,178645,-8.722,0.459,1
Vertigini,"Tedua,Chris Nolan,",73,0.774,0.131,133.722,0.164,0.164,0,4,0.579,5,203040,-6.34,0.476,0
Splash,"Dark Polo Gang,",74,0.772,0.139,125.053,0.104,0.0263,0,4,0.709,1,181624,-4.248,0.422,1
Fotografia (feat. Francesca Michielin & Fabri Fibra),"Carl Brave,Francesca Michielin,Fabri Fibra,",77,0.539,0.0959,167.125,0.169,0.0438,0,4,0.707,0,221413,-5.321,0.423,0
La stessa,"Alessandra Amoroso,",57,0.731,0.129,101.163,0.102,0.478,0,4,0.485,4,226213,-3.403,0.409,1
Modalità Aereo (feat. Luchè & Marracash),"Gue Pequeno,Luche,Marracash,",75,0.676,0.174,147.892,0.0789,0.182,5.16e-06,4,0.737,6,190480,-5.018,0.656,1
Amore e Capoeira,"Takagi & Ketra,Giusy Ferreri,Sean Kingston,",80,0.697,0.044,118.083,0.142,0.122,0,4,0.827,11,172455,-4.368,0.836,0
Poesia senza veli,"Ultimo,",75,0.519,0.222,81.991,0.125,0.752,0,4,0.739,8,218167,-7.461,0.255,0
New York,"Thegiornalisti,",65,0.722,0.0662,151.936,0.0492,0.0679,0,4,0.573,7,219573,-4.853,0.495,1
"Bella Giornata (prod. Dogslife, Mago del blocco)","OG Eastbull,Dogslife,Mago del Blocco,",74,0.68,0.117,132.013,0.332,0.627,4.44e-06,4,0.744,7,181368,-4.98,0.801,1
Da zero a cento,"Baby K,",78,0.641,0.145,184.088,0.0655,0.0231,0,4,0.605,3,206195,-6.119,0.781,0
Felicità puttana,"Thegiornalisti,",62,0.856,0.305,93.975,0.127,0.00763,1.89e-05,4,0.692,0,219807,-4.816,0.686,1
Moscow Mule,"Benji & Fede,",76,0.726,0.131,108.507,0.184,0.464,0,4,0.497,7,181194,-5.03,0.867,0
Toy Boy,"Dark Polo Gang,",72,0.833,0.143,134.975,0.0414,0.0894,1.36e-05,4,0.737,9,200699,-4.025,0.4,1
Morirò da re,"Måneskin,",74,0.879,0.0362,193.998,0.153,0.122,0,4,0.617,10,157758,-2.597,0.926,1
Uno squillo,"Capo Plaza,",74,0.724,0.0736,98.97,0.397,0.0586,0,4,0.801,1,208813,-5.038,0.679,0
Porto Cervo,"Lazza,",74,0.666,0.0885,100.006,0.104,0.2,0,4,0.855,10,235425,-4.581,0.758,0
Tutto tua madre,"J-AX,",71,0.741,0.343,128.219,0.0678,0.128,0,4,0.582,0,226000,-6.264,0.226,1
Mwaka Moon - Remix,"Kalash,Sfera Ebbasta,",75,0.556,0.107,155.07,0.0739,0.0942,1.42e-05,4,0.768,1,237179,-7.146,0.24,0
Ne è valsa la pena (feat. Ghali),"Capo Plaza,Ghali,",75,0.654,0.231,120.388,0.218,0.115,0,5,0.593,5,234600,-4.509,0.405,0
Solo Te E Me (feat. Giulia Jean),"GionnyScandal,Giulia Jean,",72,0.669,0.0849,159.79,0.0501,0.0968,0,4,0.484,4,204187,-5.77,0.273,0
Peace & Love,"Charlie Charles,Sfera Ebbasta,Ghali,",74,0.785,0.309,152.962,0.0615,0.14,0,4,0.68,8,182745,-5.313,0.319,1
Nero Bali,"Elodie,Michele Bravi,Gue Pequeno,",76,0.836,0.286,116.045,0.0362,0.017,0,4,0.638,6,183773,-5.756,0.629,0
Pianeti,"Ultimo,",72,0.488,0.372,80.112,0.196,0.281,0,4,0.55,8,224000,-9.425,0.108,1
